epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,258.371,2.46918,0.71172,0.91313,1.05015,0.00999808,0.00333269,0.00999808,0.00333269,0.00999808,0.00333269,0.00999808,0.00333269
2,446.722,1.48939,0.74548,0.93093,0.93348,0.0199785,0.00665951,0.0199785,0.00665951,0.0199785,0.00665951,0.0199785,0.00665951
3,622.887,1.67811,0.724,0.9228,1.00068,0.029881,0.00996033,0.029881,0.00996033,0.029881,0.00996033,0.029881,0.00996033
4,783.102,1.79022,0.74838,0.93373,0.89543,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,1069.5,1.57854,0.77672,0.94641,0.79208,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,1359.98,1.42764,0.79549,0.95221,0.71037,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,1629.59,1.31894,0.80991,0.95869,0.65609,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,1868.66,1.24297,0.81842,0.96256,0.62479,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,2102.59,1.18779,0.82509,0.9645,0.60009,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,2326.69,1.146,0.82771,0.96633,0.58688,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,2548.17,1.11019,0.83051,0.96808,0.57636,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,2774.45,1.07212,0.83283,0.96798,0.56698,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,2997.66,1.04792,0.83574,0.96817,0.55818,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,3237.25,1.02186,0.83864,0.96943,0.55047,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,3405.6,1.00018,0.83932,0.97059,0.54462,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,3563.45,0.96695,0.84164,0.97156,0.53932,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,3720.41,0.94697,0.84212,0.97204,0.5336,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,3876.27,0.93122,0.84425,0.97243,0.52961,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,4032.35,0.90012,0.84676,0.97243,0.52088,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,4188.25,0.883,0.84744,0.97349,0.51591,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,4343.51,0.85616,0.84851,0.97369,0.50813,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,4499.2,0.83267,0.85034,0.97378,0.51199,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,4654.72,0.80815,0.8517,0.97465,0.49878,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,4811.48,0.78248,0.85373,0.97504,0.49304,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,4971.88,0.7603,0.85557,0.97611,0.4876,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,5129.57,0.73611,0.85692,0.97775,0.49415,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5286.9,0.71145,0.85866,0.97814,0.47749,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,5446.29,0.68011,0.85973,0.97804,0.47267,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,5605.07,0.65885,0.86137,0.97862,0.46815,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,5764.1,0.62821,0.86302,0.97843,0.46495,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,5921.16,0.59747,0.86379,0.9791,0.45975,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,6078.34,0.58247,0.86543,0.9793,0.45553,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,6234.76,0.55077,0.86737,0.97968,0.45343,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,6392.22,0.51766,0.86814,0.98065,0.44835,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,6549.87,0.49575,0.87056,0.98046,0.44648,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,6706.73,0.46509,0.87221,0.98094,0.43975,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,6863.74,0.44075,0.87317,0.98085,0.43619,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,7022.31,0.41974,0.87433,0.98094,0.44216,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,7179.71,0.39164,0.8755,0.98162,0.44185,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,7336.42,0.36549,0.87598,0.98172,0.43242,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,7525.5,0.34625,0.87646,0.98201,0.42404,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,7684.17,0.3303,0.87714,0.98288,0.42209,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,7880.1,0.30557,0.87762,0.98268,0.41999,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,8177.89,0.29777,0.8783,0.98317,0.41841,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,8447.38,0.28588,0.87937,0.98297,0.41788,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,8731.61,0.27168,0.87946,0.98288,0.41644,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,8962.58,0.26229,0.87966,0.98326,0.41669,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
48,9194.44,0.25965,0.88024,0.98307,0.41536,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
49,9374.15,0.24979,0.88072,0.98317,0.41535,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
50,9541.08,0.24745,0.88091,0.98375,0.41565,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
